"RoleName","StandardActivity","RoleType","Application","System","Platform","EntitlementName","EntitlementValue","AuthObjValue","FieldSecName","FieldSecValue","Commentary","EditStatus",
"FNC_OTC_Pricing_Full_Service_Specialist_NA","N/A","Job Function","AS400","NA AS/400 - CALAF1A4","CALAF1A4","Group Profile","BASISXX","N/A","N/A","N/A","","",
"FNC_OTC_Pricing_Full_Service_Specialist_NA","N/A","Job Function","AS400","NA AS/400 - CALAF2A4","CALAF2A4","Group Profile","BASISXX","N/A","N/A","N/A","","",
"FNC_OTC_Pricing_Full_Service_Specialist_NA","N/A","Job Function","AS400","NA AS/400 - CALAF3A4","CALAF3A4","Group Profile","BASISXX","N/A","N/A","N/A","","",
"FNC_OTC_Pricing_Full_Service_Specialist_NA","N/A","Job Function","AS400","NA AS/400 - CALAF4A4","CALAF4A4","Group Profile","BASISXX","N/A","N/A","N/A","","",
"FNC_OTC_Pricing_Full_Service_Specialist_NA","N/A","Job Function","AS400","NA AS/400 - CALAF5A4","CALAF5A4","Group Profile","BASISXX","N/A","N/A","N/A","","",
"FNC_OTC_Pricing_Full_Service_Specialist_NA","N/A","Job Function","AS400","NA AS/400 - CIN1S1","CIN1S1","Group Profile","BASISXX","N/A","N/A","N/A","","",
"FNC_OTC_Pricing_Full_Service_Specialist_NA","N/A","Job Function","AS400","NA AS/400 - EAG1S2","EAG1S2","Group Profile","BASISXX","N/A","N/A","N/A","","",
"FNC_OTC_Pricing_Full_Service_Specialist_NA","N/A","Job Function","AS400","NA AS/400 - GAACF5A4","GAACF5A4","Group Profile","BASISXX","N/A","N/A","N/A","","",
"FNC_OTC_Pricing_Full_Service_Specialist_NA","N/A","Job Function","AS400","NA AS/400 - GAACF7A4","GAACF7A4","Group Profile","BASISXX","N/A","N/A","N/A","","",
"FNC_OTC_Pricing_Full_Service_Specialist_NA","N/A","Job Function","AS400","NA AS/400 - GAFE1A4","GAFE1A4","Group Profile","BASISXX","N/A","N/A","N/A","","",
"FNC_OTC_Pricing_Full_Service_Specialist_NA","N/A","Job Function","AS400","NA AS/400 - GANC3A4","GANC3A4","Group Profile","BASISXX","N/A","N/A","N/A","SKLAR","",
"FNC_OTC_Pricing_Full_Service_Specialist_NA","N/A","Job Function","AS400","NA AS/400 - LEN1S1","LEN1S1","Group Profile","BASISXX","N/A","N/A","N/A","","",
"FNC_OTC_Pricing_Full_Service_Specialist_NA","N/A","Job Function","AS400","NA AS/400 - LEN1S2","LEN1S2","Group Profile","BASISXX","N/A","N/A","N/A","","",
"FNC_OTC_Pricing_Full_Service_Specialist_NA","N/A","Job Function","AS400","NA AS/400 - MACCF2A4","MACCF2A4","Group Profile","BASISXX","N/A","N/A","N/A","","",
"FNC_OTC_Pricing_Full_Service_Specialist_NA","N/A","Job Function","AS400","NA AS/400 - MACM1A4","MACM1A4","Group Profile","BASISXX","N/A","N/A","N/A","","",
"FNC_OTC_Pricing_Full_Service_Specialist_NA","N/A","Job Function","AS400","NA AS/400 - MACM2A4","MACM2A4","Group Profile","BASISXX","N/A","N/A","N/A","","",
"FNC_OTC_Pricing_Full_Service_Specialist_NA","N/A","Job Function","AS400","NA AS/400 - MANYC1A4","MANYC1A4","Group Profile","BASISXX","N/A","N/A","N/A","","",
"FNC_OTC_Pricing_Full_Service_Specialist_NA","N/A","Job Function","AS400","NA AS/400 - TADAL2A4","TADAL2A4","Group Profile","BASISXX","N/A","N/A","N/A","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","01-WARE SALES","GAFE1A4","DEPTACCESS","AMSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","01-WARE SALES","GAFE1A4","DEPTACCESS","HHNSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","01-WARE SALES","GAFE1A4","DEPTACCESS","HHSSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","01-WARE SALES","GAFE1A4","DEPTACCESS","OESAMP","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","01-WARE SALES","GAFE1A4","DEPTACCESS","OEUSER","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","01-WARE SALES","GAFE1A4","DEPTACCESS","OMSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","01-WARE SALES","GAFE1A4","DEPTACCESS","SMINQ","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","01-WARE SALES","GAFE1A4","DEPTACCESS","XXUSER","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","04-CENTRALSTA","LEN1S2","DEPTACCESS","AMSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","04-CENTRALSTA","LEN1S2","DEPTACCESS","HHNSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","04-CENTRALSTA","LEN1S2","DEPTACCESS","HHSSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","04-CENTRALSTA","LEN1S2","DEPTACCESS","OESAMP","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","04-CENTRALSTA","LEN1S2","DEPTACCESS","OEUSER","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","04-CENTRALSTA","LEN1S2","DEPTACCESS","OMSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","04-CENTRALSTA","LEN1S2","DEPTACCESS","SMINQ","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","04-CENTRALSTA","LEN1S2","DEPTACCESS","XXUSER","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","06-OHIO / KY","CIN1S1","DEPTACCESS","AMSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","06-OHIO / KY","CIN1S1","DEPTACCESS","HHNSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","06-OHIO / KY","CIN1S1","DEPTACCESS","HHSSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","06-OHIO / KY","CIN1S1","DEPTACCESS","OESAMP","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","06-OHIO / KY","CIN1S1","DEPTACCESS","OEUSER","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","06-OHIO / KY","CIN1S1","DEPTACCESS","OMSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","06-OHIO / KY","CIN1S1","DEPTACCESS","SMINQ","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","06-OHIO / KY","CIN1S1","DEPTACCESS","XXUSER","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","10-MIDAMERICA","LEN1S1","DEPTACCESS","AMSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","10-MIDAMERICA","LEN1S1","DEPTACCESS","HHNSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","10-MIDAMERICA","LEN1S1","DEPTACCESS","HHSSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","10-MIDAMERICA","LEN1S1","DEPTACCESS","OESAMP","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","10-MIDAMERICA","LEN1S1","DEPTACCESS","OEUSER","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","10-MIDAMERICA","LEN1S1","DEPTACCESS","OMSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","10-MIDAMERICA","LEN1S1","DEPTACCESS","SMINQ","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","10-MIDAMERICA","LEN1S1","DEPTACCESS","XXUSER","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","11-N. OHIO","CIN1S1","DEPTACCESS","AMSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","11-N. OHIO","CIN1S1","DEPTACCESS","HHNSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","11-N. OHIO","CIN1S1","DEPTACCESS","HHSSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","11-N. OHIO","CIN1S1","DEPTACCESS","OESAMP","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","11-N. OHIO","CIN1S1","DEPTACCESS","OEUSER","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","11-N. OHIO","CIN1S1","DEPTACCESS","OMSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","11-N. OHIO","CIN1S1","DEPTACCESS","SMINQ","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","11-N. OHIO","CIN1S1","DEPTACCESS","XXUSER","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","14-UP.NY/E.PA","CIN1S1","DEPTACCESS","AMSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","14-UP.NY/E.PA","CIN1S1","DEPTACCESS","HHNSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","14-UP.NY/E.PA","CIN1S1","DEPTACCESS","HHSSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","14-UP.NY/E.PA","CIN1S1","DEPTACCESS","OESAMP","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","14-UP.NY/E.PA","CIN1S1","DEPTACCESS","OEUSER","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","14-UP.NY/E.PA","CIN1S1","DEPTACCESS","OMSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","14-UP.NY/E.PA","CIN1S1","DEPTACCESS","SMINQ","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","14-UP.NY/E.PA","CIN1S1","DEPTACCESS","XXUSER","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","15-NEW YORK","MANYC1A4","DEPTACCESS","AMSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","15-NEW YORK","MANYC1A4","DEPTACCESS","HHNSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","15-NEW YORK","MANYC1A4","DEPTACCESS","HHSSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","15-NEW YORK","MANYC1A4","DEPTACCESS","OESAMP","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","15-NEW YORK","MANYC1A4","DEPTACCESS","OEUSER","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","15-NEW YORK","MANYC1A4","DEPTACCESS","OMSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","15-NEW YORK","MANYC1A4","DEPTACCESS","SMINQ","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Promotion Control","N/A","DIVISION_DESC","CENTRAL","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Promotion Control","N/A","DIVISION_DESC","EAST","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Promotion Control","N/A","DIVISION_DESC","SOUTH","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Promotion Control","N/A","DIVISION_DESC","WEST","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Promotion Control","N/A","DIVISION_DESC","CANADA","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Author","N/A","DIVISION_DESC","CENTRAL","Add an entitlement","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Author","N/A","DIVISION_DESC","EAST","Add an entitlement","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Author","N/A","DIVISION_DESC","SOUTH","Add an entitlement","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Author","N/A","DIVISION_DESC","WEST","Add an entitlement","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Author","N/A","DIVISION_DESC","CANADA","Add an entitlement","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Requestor","N/A","DIVISION_DESC","CENTRAL","Add an entitlement","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Requestor","N/A","DIVISION_DESC","EAST","Add an entitlement","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Requestor","N/A","DIVISION_DESC","SOUTH","Add an entitlement","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Requestor","N/A","DIVISION_DESC","WEST","Add an entitlement","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Requestor","N/A","DIVISION_DESC","CANADA","Add an entitlement","",
"FNC_OTC_Pricing_Approver_NAF","N/A","Job Function","AS400","NA AS/400 - LEN1S1","LEN1S1","Group Profile","BASISXX","N/A","N/A","N/A","","",
"FNC_OTC_Pricing_Approver_NAF","N/A","Job Function","AS400","NA AS/400 - LEN1S2","LEN1S2","Group Profile","BASISXX","N/A","N/A","N/A","","",
"FNC_OTC_Pricing_Approver_NA","N/A","Job Function","AS400","NA AS/400 - LEN1S1","LEN1S1","Group Profile","BASISXX","N/A","N/A","N/A","","",
"FNC_OTC_Pricing_Approver_NA","N/A","Job Function","AS400","NA AS/400 - GANC3A4","GANC3A4","Group Profile","BASISXX","N/A","N/A","N/A","SKLAR","",
